sample	samples	ENSG00000262814.6	_primary_site
GTEX-1314G-0126-SM-5LZUL	GTEX-1314G-0126-SM-5LZUL	6.628	Heart
GTEX-U4B1-0326-SM-3DB8K	GTEX-U4B1-0326-SM-3DB8K	6.627	Heart
GTEX-YB5K-0426-SM-5LUA4	GTEX-YB5K-0426-SM-5LUA4	6.623	Blood Vessel
K-562-SM-3NB3I	K-562-SM-3NB3I	6.622	Bone Marrow
GTEX-ZVTK-0003-SM-51MRV	GTEX-ZVTK-0003-SM-51MRV	6.621	Blood
GTEX-QV31-0008-SM-447AT	GTEX-QV31-0008-SM-447AT	6.621	Skin
K-562-SM-46MWI	K-562-SM-46MWI	6.62	Bone Marrow
GTEX-ZEX8-0426-SM-4WWEN	GTEX-ZEX8-0426-SM-4WWEN	6.62	Heart
GTEX-ZEX8-0726-SM-4WKH8	GTEX-ZEX8-0726-SM-4WKH8	6.619	Spleen
GTEX-S4UY-0008-SM-3NM8H	GTEX-S4UY-0008-SM-3NM8H	6.619	Skin
GTEX-WHSE-0826-SM-4SOJU	GTEX-WHSE-0826-SM-4SOJU	6.616	Heart
GTEX-12WS9-1526-SM-5FQT4	GTEX-12WS9-1526-SM-5FQT4	6.615	Esophagus
K-562-SM-4QAR5	K-562-SM-4QAR5	6.612	Bone Marrow
GTEX-YEC3-0002-SM-4W1YI	GTEX-YEC3-0002-SM-4W1YI	6.611	Blood
GTEX-YFC4-1526-SM-5IFJS	GTEX-YFC4-1526-SM-5IFJS	6.608	Liver
GTEX-WZTO-0001-SM-4PQZY	GTEX-WZTO-0001-SM-4PQZY	6.607	Blood
GTEX-12ZZZ-0226-SM-59HKU	GTEX-12ZZZ-0226-SM-59HKU	6.607	Muscle
GTEX-TML8-0001-SM-3NMAF	GTEX-TML8-0001-SM-3NMAF	6.604	Blood
GTEX-ZF2S-1926-SM-4WWAN	GTEX-ZF2S-1926-SM-4WWAN	6.601	Colon
GTEX-13S86-1626-SM-5Q5C5	GTEX-13S86-1626-SM-5Q5C5	6.599	Colon
K-562-SM-3LK7S	K-562-SM-3LK7S	6.597	Bone Marrow
GTEX-POYW-0008-SM-48TE4	GTEX-POYW-0008-SM-48TE4	6.597	Skin
GTEX-12696-0826-SM-5EGGE	GTEX-12696-0826-SM-5EGGE	6.595	Liver
GTEX-P4QT-1426-SM-3NMCX	GTEX-P4QT-1426-SM-3NMCX	6.594	Colon
GTEX-PWCY-0008-SM-48TE9	GTEX-PWCY-0008-SM-48TE9	6.593	Skin
GTEX-13FH7-0926-SM-5J2MR	GTEX-13FH7-0926-SM-5J2MR	6.593	Heart
GTEX-ZAJG-0826-SM-5PNVA	GTEX-ZAJG-0826-SM-5PNVA	6.593	Heart
GTEX-ZVT3-0826-SM-5GIC8	GTEX-ZVT3-0826-SM-5GIC8	6.593	Heart
GTEX-146FQ-0326-SM-5NQAX	GTEX-146FQ-0326-SM-5NQAX	6.591	Muscle
GTEX-1128S-1626-SM-5H12O	GTEX-1128S-1626-SM-5H12O	6.587	Colon
GTEX-SIU8-0826-SM-2XCDQ	GTEX-SIU8-0826-SM-2XCDQ	6.586	Heart
K-562-SM-3P61Y	K-562-SM-3P61Y	6.584	Bone Marrow
GTEX-PLZ5-1126-SM-3P613	GTEX-PLZ5-1126-SM-3P613	6.58	Colon
GTEX-1339X-2426-SM-5KLYU	GTEX-1339X-2426-SM-5KLYU	6.58	Muscle
GTEX-RU72-0726-SM-46MUW	GTEX-RU72-0726-SM-46MUW	6.578	Esophagus
GTEX-13JVG-1126-SM-5KM2M	GTEX-13JVG-1126-SM-5KM2M	6.578	Heart
GTEX-S7SF-0526-SM-3K2BC	GTEX-S7SF-0526-SM-3K2BC	6.576	Heart
GTEX-S4P3-1226-SM-4AD4Y	GTEX-S4P3-1226-SM-4AD4Y	6.575	Colon
GTEX-R55G-0526-SM-2TC5O	GTEX-R55G-0526-SM-2TC5O	6.575	Heart
GTEX-11EM3-0001-SM-5Q5BD	GTEX-11EM3-0001-SM-5Q5BD	6.572	Blood
K-562-SM-4WAWH	K-562-SM-4WAWH	6.571	Bone Marrow
GTEX-11NUK-1326-SM-5P9GN	GTEX-11NUK-1326-SM-5P9GN	6.57	Esophagus
GTEX-TKQ1-0003-SM-3NMAE	GTEX-TKQ1-0003-SM-3NMAE	6.566	Blood
GTEX-14C38-1526-SM-5RQJ7	GTEX-14C38-1526-SM-5RQJ7	6.564	Liver
GTEX-13W3W-2126-SM-5K7UX	GTEX-13W3W-2126-SM-5K7UX	6.563	Colon
GTEX-131XG-0526-SM-5DUWF	GTEX-131XG-0526-SM-5DUWF	6.563	Heart
GTEX-WOFM-0001-SM-4OOT2	GTEX-WOFM-0001-SM-4OOT2	6.562	Blood
GTEX-1122O-0003-SM-5Q5DL	GTEX-1122O-0003-SM-5Q5DL	6.561	Blood
GTEX-UPK5-0326-SM-3GAF3	GTEX-UPK5-0326-SM-3GAF3	6.558	Heart
GTEX-11ONC-0126-SM-5PNW6	GTEX-11ONC-0126-SM-5PNW6	6.557	Heart
GTEX-O5YU-0008-SM-4E3I7	GTEX-O5YU-0008-SM-4E3I7	6.556	Skin
GTEX-YECK-0008-SM-4W1ZG	GTEX-YECK-0008-SM-4W1ZG	6.554	Skin
GTEX-XQ8I-0126-SM-4BOPL	GTEX-XQ8I-0126-SM-4BOPL	6.554	Heart
GTEX-WXYG-0004-SM-4MVOS	GTEX-WXYG-0004-SM-4MVOS	6.553	Blood
GTEX-XGQ4-0008-SM-4AT3Z	GTEX-XGQ4-0008-SM-4AT3Z	6.552	Skin
GTEX-ZF3C-0001-SM-4WWAW	GTEX-ZF3C-0001-SM-4WWAW	6.551	Blood
GTEX-OOBJ-0008-SM-3NB26	GTEX-OOBJ-0008-SM-3NB26	6.551	Skin
GTEX-WFG7-1526-SM-4LVMG	GTEX-WFG7-1526-SM-4LVMG	6.549	Colon
GTEX-UJMC-0008-SM-4IHKK	GTEX-UJMC-0008-SM-4IHKK	6.549	Skin
GTEX-RU72-0326-SM-2TF5T	GTEX-RU72-0326-SM-2TF5T	6.548	Heart
GTEX-ZT9X-0004-SM-4YCDT	GTEX-ZT9X-0004-SM-4YCDT	6.547	Blood
GTEX-11DXX-2026-SM-5EGJL	GTEX-11DXX-2026-SM-5EGJL	6.544	Adipose Tissue
GTEX-11P82-1326-SM-5HL62	GTEX-11P82-1326-SM-5HL62	6.543	Breast
GTEX-ZDXO-0426-SM-4WKF6	GTEX-ZDXO-0426-SM-4WKF6	6.542	Heart
K-562-SM-47JYY	K-562-SM-47JYY	6.539	Bone Marrow
GTEX-T6MO-0003-SM-3NMAG	GTEX-T6MO-0003-SM-3NMAG	6.538	Blood
GTEX-W5X1-0001-SM-3P61V	GTEX-W5X1-0001-SM-3P61V	6.538	Blood
GTEX-X88G-0004-SM-47JZ6	GTEX-X88G-0004-SM-47JZ6	6.538	Blood
GTEX-XYKS-0002-SM-4BRWN	GTEX-XYKS-0002-SM-4BRWN	6.537	Blood
GTEX-XQ3S-0526-SM-4BOQA	GTEX-XQ3S-0526-SM-4BOQA	6.536	Heart
GTEX-WY7C-2426-SM-3NB2V	GTEX-WY7C-2426-SM-3NB2V	6.536	Adipose Tissue
GTEX-11I78-0826-SM-5A5K4	GTEX-11I78-0826-SM-5A5K4	6.533	Heart
GTEX-WWYW-1126-SM-3NB2Q	GTEX-WWYW-1126-SM-3NB2Q	6.533	Heart
GTEX-XMK1-0001-SM-4B64F	GTEX-XMK1-0001-SM-4B64F	6.532	Blood
GTEX-YB5E-0001-SM-4VDSV	GTEX-YB5E-0001-SM-4VDSV	6.532	Blood
GTEX-TMZS-0001-SM-3P61Q	GTEX-TMZS-0001-SM-3P61Q	6.531	Blood
GTEX-W5WG-2026-SM-4LMIB	GTEX-W5WG-2026-SM-4LMIB	6.529	Colon
GTEX-POYW-0526-SM-2XCEY	GTEX-POYW-0526-SM-2XCEY	6.527	Muscle
GTEX-S4Q7-0826-SM-4AD5E	GTEX-S4Q7-0826-SM-4AD5E	6.525	Colon
GTEX-Y111-1626-SM-57WCY	GTEX-Y111-1626-SM-57WCY	6.524	Esophagus
GTEX-WVLH-0008-SM-4MVPD	GTEX-WVLH-0008-SM-4MVPD	6.523	Skin
GTEX-R55D-1126-SM-48FEB	GTEX-R55D-1126-SM-48FEB	6.521	Esophagus
GTEX-U3ZM-0002-SM-3NMDM	GTEX-U3ZM-0002-SM-3NMDM	6.519	Blood
GTEX-RVPV-0008-SM-47JYW	GTEX-RVPV-0008-SM-47JYW	6.519	Skin
GTEX-13QBU-0426-SM-5J2O4	GTEX-13QBU-0426-SM-5J2O4	6.519	Heart
K-562-SM-3NMAP	K-562-SM-3NMAP	6.518	Bone Marrow
GTEX-UJHI-1126-SM-4IHLN	GTEX-UJHI-1126-SM-4IHLN	6.516	Colon
GTEX-111FC-0626-SM-5N9CU	GTEX-111FC-0626-SM-5N9CU	6.514	Heart
GTEX-WL46-0626-SM-3LK7R	GTEX-WL46-0626-SM-3LK7R	6.514	Muscle
GTEX-1313W-1426-SM-5KLZU	GTEX-1313W-1426-SM-5KLZU	6.513	Heart
